id,status,created_by,created_at,updated_at,deleted_at,resource_id,pipeline_id,experience_id,last_update
1,7,,2024-09-20 11:09:37,2025-01-07 09:38:13,,17,1.0,,
2,9,,2024-09-20 11:09:44,2025-01-13 12:11:26,,16,1.0,,
3,7,,2024-09-20 11:09:48,2025-01-07 09:38:16,,18,1.0,,
4,9,,2024-09-20 11:09:51,2025-01-15 14:44:30,,15,1.0,,2025-01-15 14:44:30
5,9,,2024-10-10 14:08:02,2025-01-10 08:59:54,,15,18.0,,
6,0,,2024-11-14 11:53:12,2025-01-08 17:58:42,2025-01-08 17:58:42,8,25.0,,
22,9,,2024-12-22 16:12:34,2025-01-10 09:00:09,,69,37.0,122.0,
23,9,,2024-12-22 16:14:59,2025-01-10 09:00:14,,53,38.0,176.0,
24,9,,2024-12-22 16:18:18,2025-01-10 09:00:18,,62,39.0,126.0,
25,0,,2024-12-22 16:18:32,2025-01-08 12:59:31,2025-01-08 12:59:31,48,39.0,126.0,
26,2,,2024-12-22 16:19:36,2025-01-16 11:48:13,,51,39.0,126.0,2025-01-16 11:48:13
27,0,,2024-12-22 16:20:43,2025-03-03 15:30:10,,64,39.0,126.0,2025-03-03 15:30:10
28,10,,2024-12-22 16:20:43,2025-01-10 14:22:58,,55,39.0,126.0,
29,9,,2024-12-22 16:21:47,2025-01-10 17:35:40,,50,39.0,128.0,
30,0,,2024-12-22 16:21:47,2025-01-06 15:26:16,,54,39.0,128.0,
31,9,,2024-12-22 16:23:00,2025-01-10 09:20:54,,61,39.0,127.0,
32,9,,2024-12-22 16:23:00,2025-01-10 17:34:57,,57,39.0,127.0,
33,9,,2024-12-22 16:24:57,2025-01-10 17:33:37,,36,40.0,178.0,
34,0,,2024-12-22 16:33:55,2025-01-06 16:56:26,2025-01-06 16:56:26,61,45.0,,
35,0,,2024-12-22 16:33:55,2025-01-06 16:56:31,2025-01-06 16:56:31,48,45.0,,
36,0,,2024-12-22 16:33:55,2025-01-06 16:56:38,2025-01-06 16:56:38,63,45.0,,
37,1,,2024-12-22 16:39:04,2025-01-08 19:02:53,,58,44.0,177.0,
38,9,,2024-12-22 16:39:04,2025-01-10 15:26:27,,60,44.0,177.0,
39,1,,2024-12-22 16:39:04,2025-01-10 18:23:58,,67,44.0,177.0,
40,10,,2024-12-22 16:40:54,2025-01-10 14:26:14,,62,44.0,177.0,
41,2,,2024-12-22 16:44:51,2025-01-06 12:19:42,,47,39.0,128.0,
42,9,,2024-12-23 09:09:32,2025-01-10 09:21:00,,61,46.0,174.0,
43,2,,2024-12-23 09:30:59,2025-01-16 11:47:38,,65,37.0,121.0,2025-01-16 11:47:38
49,2,,2024-12-23 12:17:19,2025-01-10 14:27:02,,11,,171.0,
50,2,,2024-12-23 12:17:19,2025-01-10 14:27:38,,10,,171.0,
51,0,,2024-12-23 12:18:01,2025-01-06 17:00:02,2025-01-06 17:00:02,17,37.0,121.0,
52,0,,2024-12-25 11:57:17,2025-01-08 19:07:37,2025-01-08 19:07:37,8,,117.0,
53,0,,2024-12-25 11:58:12,2025-01-08 19:07:42,2025-01-08 19:07:42,8,8.0,,
54,1,,2024-12-25 12:00:20,2025-01-10 18:32:03,2025-01-10 18:32:03,11,8.0,,
55,1,,2024-12-25 12:01:21,2025-01-10 18:32:08,2025-01-10 18:32:08,10,8.0,,
56,10,,2025-01-06 15:24:05,2025-01-10 14:40:48,,56,46.0,174.0,
57,9,,2025-01-06 15:24:28,2025-01-10 12:35:27,,48,46.0,173.0,
58,10,,2025-01-06 16:55:22,2025-01-10 14:43:31,,63,46.0,173.0,
59,2,,2025-01-07 09:19:34,2025-01-16 11:48:22,,67,39.0,127.0,2025-01-16 11:48:22
60,9,,2025-01-07 09:32:51,2025-01-10 17:33:41,,36,39.0,175.0,
61,9,,2025-01-08 10:09:44,2025-01-10 09:03:04,,73,,292.0,
62,9,,2025-01-08 10:09:53,2025-01-10 09:00:21,,51,,292.0,
63,9,,2025-01-08 11:47:53,2025-01-17 11:11:06,,51,44.0,177.0,2025-01-17 11:11:06
64,0,,2025-01-08 12:00:22,2025-01-08 12:00:30,2025-01-08 12:00:30,48,37.0,121.0,
65,9,,2025-01-08 12:23:02,2025-01-10 11:34:04,,60,39.0,127.0,
66,2,,2025-01-08 12:36:24,2025-01-16 11:47:40,,67,37.0,121.0,2025-01-16 11:47:40
67,10,,2025-01-10 09:35:49,2025-01-10 14:28:32,,74,39.0,127.0,
68,9,,2025-01-10 09:38:34,2025-01-10 15:13:03,,48,39.0,127.0,
69,9,,2025-01-10 12:49:58,2025-01-10 14:30:43,,74,46.0,173.0,
70,10,,2025-01-10 14:03:49,2025-01-10 14:46:52,,75,46.0,173.0,
71,10,,2025-01-10 14:04:32,2025-01-10 14:46:54,,75,39.0,127.0,
72,9,,2025-01-10 15:13:36,2025-01-17 11:11:01,,48,44.0,177.0,2025-01-17 11:11:01
73,2,,2025-01-10 15:20:55,2025-01-14 10:35:56,,47,46.0,173.0,2025-01-14 10:35:56
74,9,,2025-01-10 15:38:45,2025-01-10 18:22:00,,67,46.0,173.0,
75,9,,2025-01-17 11:04:51,2025-01-17 11:22:23,,76,44.0,177.0,2025-01-17 11:22:23
76,1,,2025-01-17 11:08:35,2025-01-17 11:08:41,,77,44.0,177.0,2025-01-17 11:08:41
