id,tender_name,tender_path,tender_text_path,output_path,process_steps,created_by,created_at,updated_at,id_experience,identifier,experience_processed,experience_requirements_processed,client_contact_processed,message,error
4,java_tender.docx,files/tenders/tender_paths/2024-11-14T20-41-03_1a22a782ad5e4d57b3a342856667289c.docx,files/tenders/tender_text_paths/2024-11-14T20-41-03_1a22a782ad5e4d57b3a342856667289c.txt,,4,,2024-11-14 19:41:03,2024-11-14 20:07:33,117.0,1a22a782ad5e4d57b3a342856667289c,2024-11-14 21:07:19,2024-11-14 21:07:33,2024-11-14 21:07:21,,
5,smart_contract_tender.docx,files/tenders/tender_paths/2024-11-14T20-41-08_0a280efc00804472bdb09ac157ac1e4c.docx,files/tenders/tender_text_paths/2024-11-14T20-41-08_0a280efc00804472bdb09ac157ac1e4c.txt,,4,,2024-11-14 19:41:09,2024-11-14 20:06:44,116.0,0a280efc00804472bdb09ac157ac1e4c,2024-11-14 21:06:31,2024-11-14 21:06:44,2024-11-14 21:06:33,,
6,genhive_tender.txt,files/tenders/tender_paths/2024-11-14T20-41-20_c5ac2c86aa25433cb1bd3ac40cf2d360.txt,files/tenders/tender_text_paths/2024-11-14T20-41-20_c5ac2c86aa25433cb1bd3ac40cf2d360.txt,,4,,2024-11-14 19:41:21,2024-11-14 20:01:17,115.0,c5ac2c86aa25433cb1bd3ac40cf2d360,2024-11-14 21:01:02,2024-11-14 21:01:17,2024-11-14 21:01:06,,
7,BA Job Spec.docx,files/tenders/tender_paths/2024-12-10T10-32-19_1847664288fa4f818587b3341a01701b.docx,files/tenders/tender_text_paths/2024-12-10T10-32-19_1847664288fa4f818587b3341a01701b.txt,,4,,2024-12-10 09:32:19,2024-12-21 22:09:19,121.0,1847664288fa4f818587b3341a01701b,2024-12-21 22:49:53,2024-12-21 23:09:19,2024-12-21 22:49:55,,
8,Job Spec Genhive .docx,files/tenders/tender_paths/2024-12-10T10-32-19_6551d23f77244407be443c8d4ccbfa98.docx,files/tenders/tender_text_paths/2024-12-10T10-32-19_6551d23f77244407be443c8d4ccbfa98.txt,,4,,2024-12-10 09:32:19,2024-12-21 21:50:20,122.0,6551d23f77244407be443c8d4ccbfa98,2024-12-10 10:32:43,2024-12-21 22:50:20,2024-12-10 10:32:45,,
9,Natixis_Murex_BA_BO.docx,files/tenders/tender_paths/2024-12-11T12-18-48_3d56326e9b544f6ea48d697cc28bba84.docx,files/tenders/tender_text_paths/2024-12-11T12-18-48_3d56326e9b544f6ea48d697cc28bba84.txt,,4,,2024-12-11 11:18:48,2024-12-21 21:19:03,128.0,3d56326e9b544f6ea48d697cc28bba84,2024-12-21 22:14:53,2024-12-21 22:19:03,2024-12-21 22:14:56,,
10,Natixis_Murex_BA_Front.docx,files/tenders/tender_paths/2024-12-11T12-19-13_bef84d9308464b8baeda9f2d189713c4.docx,files/tenders/tender_text_paths/2024-12-11T12-19-13_bef84d9308464b8baeda9f2d189713c4.txt,,4,,2024-12-11 11:19:14,2024-12-21 21:41:27,127.0,bef84d9308464b8baeda9f2d189713c4,2024-12-11 12:21:31,2024-12-21 22:41:27,2024-12-11 12:21:36,,
11,Natixis_Murex_DEV.docx,files/tenders/tender_paths/2024-12-11T12-19-39_a7fbdf0062a74093b1f3bc416dfc00ee.docx,files/tenders/tender_text_paths/2024-12-11T12-19-39_a7fbdf0062a74093b1f3bc416dfc00ee.txt,,4,,2024-12-11 11:19:39,2024-12-21 21:29:58,126.0,a7fbdf0062a74093b1f3bc416dfc00ee,2024-12-11 12:20:13,2024-12-21 22:29:58,2024-12-11 12:20:14,,
12,Developpeur Fullstack 1_1269518092.docx,files/tenders/tender_paths/2024-12-21T23-15-34_844f20302ea3456d9016ac5a3a6b3ae3.docx,files/tenders/tender_text_paths/2024-12-21T23-15-34_844f20302ea3456d9016ac5a3a6b3ae3.txt,,4,,2024-12-21 22:15:35,2024-12-21 22:15:57,171.0,844f20302ea3456d9016ac5a3a6b3ae3,2024-12-21 23:15:40,2024-12-21 23:15:57,2024-12-21 23:15:42,,
13,Data scientist 1_1269518092.docx,files/tenders/tender_paths/2024-12-21T23-15-47_3890a58996634f05b9730bc43a1aa2eb.docx,files/tenders/tender_text_paths/2024-12-21T23-15-47_3890a58996634f05b9730bc43a1aa2eb.txt,,4,,2024-12-21 22:15:48,2024-12-21 22:16:02,172.0,3890a58996634f05b9730bc43a1aa2eb,2024-12-21 23:15:50,2024-12-21 23:16:02,2024-12-21 23:15:52,,
