id,name,description,title,start_date,end_date,experience_type,job_type,job_location,min_years_required,type_of_insertion,is_verified,is_verified_client,daily_hours,created_by,created_at,updated_at,resource_id,client_id,pipeline_id,Closed
7,argoteam,"argoteam is a leading consultancy company based in paris and morocco, offering comprehensive services to clients across various industries. with expertise in strategy, finance, marketing, it, and human resources, we provide tailored solutions that drive growth and optimize business performance. our specialized offerings include advisory services, system integration, and software reselling. we assist clients in implementing software solutions, optimizing workflows, managing risks and compliance, and leveraging bi tools. within argoteam, i covered many consultancy roles: 
2.5 years at natixis cib as a senior business analyst on market risk platform/pricing service team. the aim of this entity is to produce trades full re-pricing, cross assets, cross systems for risk computation.
supporting many other clients on their business development.",ceo,2020-09-01 00:00:00,,2,2,"France, morocco",,0.0,0,0,,,2024-09-11 10:15:45,2024-11-14 10:26:01,8.0,12.0,,
8,cellvices inc.,"cellvices is a company created in texas with four other executive mba. the purpose of this company is to provide pre-approved manufacturing facilities rental service in the cell and gene therapy field. after more than 2 years of preparation, market studies, engineering phase and setting up our innovative container-based facility with our supplier, we are now in the fund-raising phase. this project is now paused since 01/2024 due to shareholders availability.",ceo,,,2,2,"Usa, texas",,0.0,0,0,,,2024-09-11 10:15:45,2024-09-11 10:15:45,8.0,13.0,,
9,cityfront – synechron,"working mainly on frtb, murex and fxmm projects. consultancy roles from newest:
3 years at natixis cib as a senior business analyst in the sunrise program that aims to setup a new modular architecture for marketdata, scenarios, pricing services, pricing parameters and more. the target of this safe based project that involves more than 200 people is to meet the regulatory requirements related to the frtb needs. i was responsible for hvar production and validation before sending to the risk users.
1 year at murex sas in the product evolution services as a reporting expert.
2 years at natixis cib in the r&d team. i worked on the following projects: hybrid products calypso to murex migration; fxmm products murex 3.1 to murex 3.3; fxo products integration.",senior consultant,2013-05-01 00:00:00,2020-08-01 00:00:00,1,1,Uk,,0.0,0,0,,,2024-09-11 10:15:45,2024-09-11 10:15:45,8.0,14.0,,
10,vanilla - cognitis – gfi informatique,"in my first 2 years of employment, i mainly had consultancy roles at natixis and helped on recruiting murex consultants. then for 3 years, i was responsible for the murex division and manager within the finance division, i led following internal projects:
clients information system mapping
setting up a murex experts team.
business development in morocco.

consultancy roles from newest:
2 years at natixis cib in the fx options team. i worked on a murex migration, setting up a reporting platform, stress tests production, a middle office workflow and fx options product integration (flex).
3 years at natixis cib in the murex support team. responsible for the application technical and functional users support.",consultant,2008-08-01 00:00:00,2013-04-01 00:00:00,1,1,France,,0.0,0,0,,,2024-09-11 10:15:45,2024-09-11 10:15:45,8.0,15.0,,
11,capgemini telecom & media,worked for bouygues telecom and orange business as an identity management consultant. in charge of evolutive maintenance of the solution and new features development. used computer associates caim solution.,consultant,2008-02-01 00:00:00,2008-06-01 00:00:00,1,1,France,,0.0,0,0,,,2024-09-11 10:15:45,2024-09-11 10:15:45,8.0,16.0,,
12,3wdev sarl,"led an internal project: a web-based php/mysql crm intranet for bank accounts, clients and project management. including workflow management and reporting tools.",project manager,2007-06-01 00:00:00,2007-09-01 00:00:00,1,1,Morocco,,0.0,0,0,,,2024-09-11 10:15:45,2024-09-11 10:15:45,8.0,17.0,,
13,bank of jordan,"within the retail bank, users support and help desk. setting up the network between the agencies and headquarters.",engineer,2006-06-01 00:00:00,2006-07-01 00:00:00,1,1,Jordan,,0.0,0,0,,,2024-09-11 10:15:45,2024-09-11 10:15:45,8.0,18.0,,
14,observation internship - hr department,"recruitment process, career management, absence, vacation demands, remuneration system",human resources,2020-01-01 00:00:00,2020-02-01 00:00:00,0,1,"Morocco, kénitra",,0.0,0,0,,,2024-09-11 10:16:27,2024-09-11 10:16:27,9.0,19.0,,
15,commercial internship,"field prospecting, clients data entry, call clients for purchase confirmation, customer relationship management, welcome clients and prospects, customer recovery and classify customers",sales manager,2021-01-01 00:00:00,2021-02-01 00:00:00,0,1,"Morocco, kénitra",,0.0,0,0,,,2024-09-11 10:16:27,2024-09-11 10:16:27,9.0,20.0,,
16,stagiaire développeur chez leyacom solutions,"projet: création et déploiement d’une application web d'hébergement e-commerce. outils: next.js, mongodb, expressjs, prisma, typescript, tailwindcss",fullstack developer,2023-07-01 00:00:00,2023-09-01 00:00:00,0,1,"Maroc, rabat",,0.0,0,0,,,2024-09-11 10:16:56,2024-09-11 10:16:56,10.0,21.0,,
17,stagiaire développeur chez armada systems,"projet: application web e-commerce. outils: reactjs, expressjs, nodejs, javascript, jwt, prisma",fullstack developer,2023-05-01 00:00:00,2023-07-01 00:00:00,0,1,"Maroc, rabat",,0.0,0,0,,,2024-09-11 10:16:56,2024-09-11 10:16:56,10.0,22.0,,
18,projet de fin d'études du cycle ingénieur,"titre: extraction des données à partir des transcriptions médicales. outils: spring boot, angularjs, tensorflowjs",fullstack developer,,,1,1,"Maroc, rabat",,0.0,0,0,,,2024-09-11 10:16:57,2024-09-11 10:16:57,10.0,23.0,,
19,projet freelance,"titre: plateforme e-commerce. outils: nextjs, docker, nginx, linode, prismajs",fullstack developer,,,1,1,"Maroc, rabat",,0.0,0,0,,,2024-09-11 10:16:57,2024-09-11 10:16:57,10.0,24.0,,
20,projet de fin d'études du cycle ingénieur,"titre: gestion des transferts des passagers. outils: reactjs, redux, expressjs, prismajs, tailwindcss",fullstack developer,,,1,1,"Maroc, rabat",,0.0,0,0,,,2024-09-11 10:16:57,2024-09-11 10:16:57,10.0,25.0,,
