id,pipeline_id,counterparty_id,percentage,created_by,created_at,updated_at
1,4,78,100.0,,2024-10-17 18:40:23,2024-10-17 18:40:23
8,5,150,100.0,,2024-10-17 18:40:23,2024-10-17 18:40:23
9,6,150,100.0,,2024-10-17 18:40:23,2024-10-17 18:40:23
10,7,150,100.0,,2024-10-17 18:40:23,2024-10-17 18:40:23
11,8,150,100.0,,2024-10-17 18:40:23,2024-10-17 18:40:23
12,9,150,100.0,,2024-10-17 18:40:23,2024-10-17 18:40:23
13,10,150,100.0,,2024-10-17 18:40:23,2024-10-17 18:40:23
14,12,150,100.0,,2024-10-17 18:40:23,2024-10-17 18:40:23
15,13,150,100.0,,2024-10-17 18:40:23,2024-10-17 18:40:23
16,14,150,100.0,,2024-10-17 18:40:23,2024-10-17 18:40:23
17,15,150,100.0,,2024-10-17 18:40:23,2024-10-17 18:40:23
18,16,150,100.0,,2024-10-17 18:40:23,2024-10-17 18:40:23
19,27,150,100.0,,2024-10-17 18:40:23,2024-10-17 18:40:23
20,11,152,100.0,,2024-10-17 18:40:23,2024-10-17 18:40:23
21,23,152,100.0,,2024-10-17 18:40:23,2024-10-17 18:40:23
22,24,152,100.0,,2024-10-17 18:40:23,2024-10-17 18:40:23
23,20,153,100.0,,2024-10-17 18:40:23,2024-10-17 18:40:23
24,22,153,100.0,,2024-10-17 18:40:23,2024-10-17 18:40:23
25,25,163,100.0,,2024-10-17 18:40:23,2024-10-17 18:40:23
26,26,167,100.0,,2024-10-17 18:40:23,2024-10-17 18:40:23
27,21,24,50.0,,2024-10-29 13:04:41,2024-10-29 13:04:41
28,3,24,50.0,,2024-10-29 13:06:36,2024-10-29 13:06:36
29,19,24,50.0,,2024-10-29 13:07:13,2024-10-29 13:07:13
30,18,24,50.0,,2024-10-29 13:08:43,2024-10-29 13:08:43
31,17,24,50.0,,2024-10-29 13:08:56,2024-10-29 13:08:56
35,1,24,100.0,,2024-11-08 09:58:25,2024-11-08 09:58:25
49,41,308,100.0,,2024-12-21 22:48:55,2024-12-21 22:48:55
54,44,308,100.0,,2024-12-21 23:03:52,2024-12-21 23:03:52
55,45,24,100.0,,2024-12-21 23:07:56,2024-12-21 23:07:56
62,38,308,100.0,,2024-12-22 14:04:11,2024-12-22 14:04:11
66,39,308,100.0,,2024-12-22 14:05:31,2024-12-22 14:05:31
68,40,308,100.0,,2024-12-22 15:28:07,2024-12-22 15:28:07
71,46,24,100.0,,2024-12-23 09:20:51,2024-12-23 09:20:51
73,37,308,100.0,,2024-12-23 09:26:52,2024-12-23 09:26:52
74,48,24,100.0,,2025-01-22 09:57:21,2025-01-22 09:57:21
78,84,150,100.0,,2025-03-06 10:17:38,2025-03-06 10:17:38
79,87,313,100.0,,2025-03-07 15:21:48,2025-03-07 15:21:48
