id,school_name,is_verified,created_by,created_at,updated_at
1,1337 KHOURIBGA,1,,2024-09-11 09:58:22,2024-09-11 09:58:22
2,1337 BEN GUERIR,1,,2024-09-11 09:58:22,2024-09-11 09:58:22
3,ENSA KHOURIBGA,1,,2024-09-11 09:58:22,2024-09-11 09:58:22
4,ENSA KENITRA,1,,2024-09-11 09:58:22,2024-09-11 09:58:22
5,ENSA BENI MELLAL,1,,2024-09-11 09:58:22,2024-09-11 09:58:22
6,ENSA AGADIR,1,,2024-09-11 09:58:22,2024-09-11 09:58:22
7,EMSI RABAT,1,,2024-09-11 09:58:22,2024-09-11 09:58:22
8,ENSAM MEKNES,1,,2024-09-11 09:58:22,2024-09-11 09:58:22
9,UMP6 BEN GUERIR,1,,2024-09-11 09:58:22,2024-09-11 09:58:22
10,AL AKHAWAYN UNIVERSITY,1,,2024-09-11 09:58:22,2024-09-11 09:58:22
11,UNIVERSITE MOHAMMED V,1,,2024-09-11 09:58:22,2024-09-11 09:58:22
12,UNIVERSITE CADI AYYAD,1,,2024-09-11 09:58:22,2024-09-11 09:58:22
13,EHTP CASABLANCA,1,,2024-09-11 09:58:22,2024-09-11 09:58:22
14,ESCA RABAT,1,,2024-09-11 09:58:22,2024-09-11 09:58:22
15,ENSEM CASABLANCA,1,,2024-09-11 09:58:22,2024-09-11 09:58:22
16,ISCAE CASABLANCA,1,,2024-09-11 09:58:22,2024-09-11 09:58:22
17,FST MARRAKECH,1,,2024-09-11 09:58:22,2024-09-11 09:58:22
18,FST SETTAT,1,,2024-09-11 09:58:22,2024-09-11 09:58:22
19,FST FES,1,,2024-09-11 09:58:22,2024-09-11 09:58:22
20,FST MOHAMMEDIA,1,,2024-09-11 09:58:22,2024-09-11 09:58:22
21,ENCG SETTAT,1,,2024-09-11 09:58:22,2024-09-11 09:58:22
22,ENCG AGADIR,1,,2024-09-11 09:58:22,2024-09-11 09:58:22
23,ENCG TANGER,1,,2024-09-11 09:58:22,2024-09-11 09:58:22
24,ENCG MARRAKECH,1,,2024-09-11 09:58:22,2024-09-11 09:58:22
