id,name,created_by,created_at,updated_at
1,owner,,2024-09-11 09:58:22,2024-09-11 09:58:22
2,user_admin,,2024-09-11 09:58:22,2024-09-11 09:58:22
3,human_resource,,2024-09-11 09:58:22,2024-09-11 09:58:22
4,sales,,2024-09-11 09:58:22,2024-09-11 09:58:22
5,employee,,2024-09-11 09:58:22,2024-09-11 09:58:22
6,finance,,2024-09-11 09:58:22,2024-09-11 09:58:22
7,contract,,2024-09-11 09:58:22,2024-09-11 09:58:22
8,admin_backoffice,,2024-09-11 09:58:22,2024-09-11 09:58:22
9,backoffice_finance,,2024-09-11 09:58:22,2024-09-11 09:58:22
10,backoffice_contract,,2024-09-11 09:58:22,2024-09-11 09:58:22
11,admin_frontoffice,,2024-09-11 09:58:22,2024-09-11 09:58:22
12,frontoffice_sale,,2024-09-11 09:58:22,2024-09-11 09:58:22
13,frontoffice_offers,,2024-09-11 09:58:22,2024-09-11 09:58:22
14,frontoffice_client,,2024-09-11 09:58:22,2024-09-11 09:58:22
15,read_all,,2024-09-29 17:18:43,2024-09-29 17:19:00
16,backoffice_timesheets,,2024-11-08 14:40:49,2024-11-08 14:40:49
17,Sales_Sourcing,,2024-12-23 13:06:19,2024-12-23 13:06:19
